epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.33331,1.79182,4.38634,1.20823,0.00895,0.1571,0.01445,0.00996,1.39048,4.20797,0.9585,4.284e-05,4.284e-05,4.284e-05
2,10.2217,1.76891,3.98947,1.12573,0.02191,0.18251,0.03125,0.02127,1.47468,4.09421,0.96609,8.97569e-05,8.97569e-05,8.97569e-05
3,12.4422,1.78871,3.21923,1.10171,0.02245,0.19076,0.04176,0.02914,1.6277,3.8602,0.99626,0.000133375,0.000133375,0.000133375
4,14.4862,1.74862,2.68134,1.06091,0.02579,0.21441,0.06442,0.04151,1.71104,3.569,0.9973,0.000173695,0.000173695,0.000173695
5,16.6509,1.69626,2.19279,1.07654,0.02554,0.21661,0.06825,0.04424,1.7173,3.29011,1.01369,0.000210716,0.000210716,0.000210716
6,18.7269,1.65207,2.01786,1.08074,0.02459,0.22438,0.0658,0.03878,1.73891,3.1981,1.02573,0.000244438,0.000244438,0.000244438
7,20.3864,1.64124,2.01963,1.08881,0.02263,0.27244,0.10478,0.06095,1.71772,3.07723,1.02322,0.000274861,0.000274861,0.000274861
8,22.465,1.62706,1.74965,1.06941,0.02165,0.28579,0.11797,0.07118,1.65688,2.8549,1.03029,0.000301986,0.000301986,0.000301986
9,24.6503,1.56985,1.71169,1.05106,0.93823,0.04568,0.17917,0.12557,1.62538,2.47142,1.03766,0.000325812,0.000325812,0.000325812
10,26.7275,1.52634,1.59302,1.04054,0.89456,0.06311,0.19471,0.13018,1.61306,2.29653,1.03601,0.00034634,0.00034634,0.00034634
11,28.8524,1.49605,1.46003,1.03226,0.78105,0.08064,0.25393,0.186,1.60097,2.13412,1.04314,0.000363569,0.000363569,0.000363569
12,31.0225,1.59291,1.55632,1.06777,0.76823,0.09632,0.25435,0.18364,1.64273,2.10113,1.04683,0.000377499,0.000377499,0.000377499
13,32.5515,1.48886,1.50265,1.02068,0.82423,0.09876,0.26464,0.18767,1.6321,2.1173,1.04792,0.00038813,0.00038813,0.00038813
14,34.6829,1.53425,1.5122,1.02903,0.74823,0.20617,0.25917,0.19086,1.61026,2.02577,1.04225,0.000395463,0.000395463,0.000395463
15,36.7889,1.51116,1.44655,1.0373,0.75767,0.22455,0.26295,0.18018,1.61579,1.81555,1.05238,0.000384132,0.000384132,0.000384132
16,38.321,1.53259,1.38433,1.03075,0.72348,0.22003,0.26807,0.19345,1.62192,1.62222,1.075,0.00036057,0.00036057,0.00036057
17,40.4833,1.41096,1.33506,1.01525,0.68447,0.2543,0.27581,0.19594,1.6126,1.55554,1.07032,0.000337008,0.000337008,0.000337008
18,42.8439,1.43515,1.34456,1.0077,0.62647,0.22698,0.21488,0.14362,1.5915,1.4926,1.05139,0.000313446,0.000313446,0.000313446
19,44.3925,1.45586,1.34116,1.01486,0.58924,0.16825,0.19126,0.12189,1.58515,1.49491,1.04205,0.000289884,0.000289884,0.000289884
20,46.197,1.40437,1.28073,1.00074,0.6538,0.26269,0.20992,0.11943,1.55786,1.45129,1.03363,0.000266322,0.000266322,0.000266322
21,49.4939,1.45296,1.52968,1.0294,0.66715,0.26247,0.21012,0.12244,1.55138,1.41184,1.03514,0.00024276,0.00024276,0.00024276
22,51.1966,1.4645,1.51892,1.01659,0.66899,0.26529,0.19917,0.11615,1.55824,1.41822,1.04869,0.000219198,0.000219198,0.000219198
23,52.9165,1.51814,1.4346,1.03281,0.60603,0.25207,0.18224,0.11345,1.54078,1.49541,1.04596,0.000195636,0.000195636,0.000195636
24,54.5094,1.45501,1.4266,1.00269,0.62059,0.24361,0.19335,0.1262,1.53533,1.47859,1.04325,0.000172074,0.000172074,0.000172074
25,56.1162,1.47655,1.47464,1.01923,0.58552,0.26047,0.19442,0.12438,1.52853,1.44531,1.04036,0.000148512,0.000148512,0.000148512
26,57.5315,1.45591,1.37851,1.00472,0.58908,0.26853,0.19483,0.12347,1.52232,1.39472,1.04624,0.00012495,0.00012495,0.00012495
27,59.0532,1.48275,1.39357,1.02016,0.61484,0.2779,0.20904,0.1354,1.51956,1.3579,1.04932,0.000101388,0.000101388,0.000101388
28,60.7302,1.39759,1.34024,1.01698,0.65706,0.26816,0.22312,0.15011,1.50671,1.32775,1.04476,7.7826e-05,7.7826e-05,7.7826e-05
29,63.5987,1.42712,1.31409,1.00503,0.65773,0.26915,0.22409,0.15041,1.50615,1.3179,1.04285,5.4264e-05,5.4264e-05,5.4264e-05
30,66.3906,1.41054,1.34299,1.00853,0.64958,0.28094,0.22524,0.15127,1.50276,1.29602,1.04072,3.0702e-05,3.0702e-05,3.0702e-05
